,date,id_google,id_facebook,id_amazon,id_apple,mean_variation,portfolio_1,portfolio_2,portfolio_3,mean_volume,mean_variation_friday
73,2015-08-05,73,73,73,73,2.4285939340791245,11428.8579426,11651.4008697,11270.9168037,33587375.0,0.0
74,2015-08-06,74,74,74,74,2.814159801805067,11599.389944399998,11790.4119012,11414.777913,25141850.0,0.0
75,2015-08-07,75,75,75,75,1.881150277700999,11431.765687899999,11614.930661800001,11242.280739400001,16810650.0,7.524601110803996
76,2015-08-10,76,76,76,76,2.222183089132295,11472.284014,11655.2481064,11305.1581306,20250225.0,0.0
77,2015-08-11,77,77,77,77,2.610756892415946,11545.4152564,11722.346278,11345.564214799999,31819900.0,0.0
78,2015-08-12,78,78,78,78,3.2766308890025257,11381.392968199998,11563.7540033,11141.863978899999,33791750.0,0.0
79,2015-08-13,79,79,79,79,1.6754873563555361,11497.6123751,11685.8094863,11304.0018423,17673375.0,0.0
80,2015-08-14,80,80,80,80,1.4397966594624951,11433.621076,11632.119049,11240.837024999999,15481525.0,5.7591866378499805
81,2015-08-17,81,81,81,81,1.6625636232541319,11521.8067662,11720.9017308,11341.4137762,15707900.0,0.0
82,2015-08-18,82,82,82,82,1.4740848603130203,11566.4920318,11783.145888399999,11401.119833199999,15091725.0,0.0
83,2015-08-19,83,83,83,83,1.7634967957726522,11543.8216966,11749.087726,11369.4077636,18998975.0,0.0
84,2015-08-20,84,84,84,84,3.3086821554093593,11444.3732657,11649.9482936,11255.0242716,30090775.0,0.0
85,2015-08-21,85,85,85,85,4.351356787626047,10973.555948899999,11198.6459183,10824.995884099999,50506475.0,17.405427150504188
86,2015-08-24,86,86,86,86,9.704923484628564,9764.6539481,10011.9079262,9637.793967599999,65446225.0,0.0
87,2015-08-25,87,87,87,87,5.699857568117886,10730.4727428,10913.1607857,10595.7208641,41210025.0,0.0
88,2015-08-26,88,88,88,88,4.832955950206154,10577.2356503,10754.0226686,10403.354682599998,38123350.0,0.0
89,2015-08-27,89,89,89,89,3.0842346008569925,11095.213249,11323.450359999999,10962.2443642,34163325.0,0.0
90,2015-08-28,90,90,90,90,1.7415408336820875,11111.021902199998,11345.7059427,10990.955924499998,22776425.0,6.96616333472835
91,2015-08-31,91,91,91,91,2.355505110874364,11098.8558314,11320.693891399998,10969.475931199999,23564750.0,0.0
92,2015-09-01,92,92,92,92,3.3957856740171852,10723.9380055,10961.7001207,10656.1221833,30127475.0,0.0
93,2015-09-02,93,93,93,93,2.581282757163164,10836.681099000001,11059.749105899999,10737.541104699998,23840500.0,0.0
94,2015-09-03,94,94,94,94,2.513549884582761,11022.150020000001,11262.683976799999,10940.905941199999,21297850.0,0.0
95,2015-09-04,95,95,95,95,1.616093177850129,10690.594892200003,10914.121926400001,10596.767956200001,20526625.0,6.464372711400516
96,2015-09-08,96,96,96,96,1.8571924021819677,10947.901026599999,11168.431007399999,10846.4590134,21986575.0,0.0
97,2015-09-09,97,97,97,97,2.80139535240144,11157.4118766,11417.4099279,11096.9020097,30908675.0,0.0
98,2015-09-10,98,98,98,98,2.45503335573094,10973.204980800001,11206.2120852,10863.398093,23452875.0,0.0
99,2015-09-11,99,99,99,99,1.545157179950599,11119.7910641,11346.393095,10999.8851068,18925475.0,6.180628719802396
100,2015-09-14,100,100,100,100,1.61756917308346,11314.5920478,11574.386088,11269.910102,20830950.0,0.0
101,2015-09-15,101,101,101,101,1.935743381985992,11268.9951452,11500.3280804,11186.0220408,16787725.0,0.0
102,2015-09-16,102,102,102,102,1.178484223128359,11323.6358006,11533.7347127,11204.238752899999,14258500.0,0.0
103,2015-09-17,103,103,103,103,2.8199782277314727,11368.1079428,11585.034844999998,11241.5809138,24599650.0,0.0
104,2015-09-18,104,104,104,104,2.282037730097322,11337.5397573,11575.802807999999,11194.458853799999,36969700.0,9.128150920389288
105,2015-09-21,105,105,105,105,1.758711334412211,11459.5192675,11717.498250999999,11349.164166199998,21020950.0,0.0
106,2015-09-22,106,106,106,106,2.075937431296028,11365.072988599999,11625.950117599998,11272.6141002,23409925.0,0.0
107,2015-09-23,107,107,107,107,1.4003503669836739,11327.3198692,11594.7127864,11255.456760599998,15291650.0,0.0
108,2015-09-24,108,108,108,108,2.4861972259715133,11235.8089334,11482.5979091,11150.6358941,21266650.0,0.0
109,2015-09-25,109,109,109,109,3.291295764142722,11517.6332061,11761.827204600002,11427.493186200001,22829625.0,13.165183056570887
110,2015-09-28,110,110,110,110,3.8511107883529148,11123.090270200002,11354.2822807,11046.6201965,25467775.0,0.0
111,2015-09-29,111,111,111,111,4.085336590713631,10864.8881134,11103.1241305,10824.8141139,30603550.0,0.0
112,2015-09-30,112,112,112,112,2.060404297008476,10815.960165999997,11048.9161045,10732.378016699999,27265050.0,0.0
113,2015-10-01,113,113,113,113,2.44912305611765,10900.702066999998,11117.821017499999,10769.481008499999,24712225.0,0.0
114,2015-10-02,114,114,114,114,3.932516590703236,10852.1570922,11094.9740136,10743.1320036,25796025.0,15.730066362812943
115,2015-10-05,115,115,115,115,2.019552599017702,11276.036937,11524.1458512,11125.4898038,21138050.0,0.0
116,2015-10-06,116,116,116,116,2.2400363774847682,11410.3141242,11667.6360531,11258.677957099999,19259675.0,0.0
117,2015-10-07,117,117,117,117,2.4480492836210517,11427.8808054,11682.829703399999,11274.0696918,19199925.0,0.0
118,2015-10-08,118,118,118,118,2.8233220607898364,11292.029079599999,11550.6382041,11145.0922607,24032150.0,0.0
119,2015-10-09,119,119,119,119,1.965836464207129,11298.223934,11530.49582,11119.095807999998,19491275.0,7.863345856828516
120,2015-10-12,120,120,120,120,1.6665156017759308,11409.5623228,11663.5933951,11278.125381899998,13242025.0,0.0
121,2015-10-13,121,121,121,121,1.8842592989572426,11426.1282934,11690.779238799998,11278.8251716,14318825.0,0.0
122,2015-10-14,122,122,122,122,1.8255731490997977,11526.4083513,11795.949404399998,11368.9133646,17178350.0,0.0
123,2015-10-15,123,123,123,123,1.7598401473719252,11530.560815800001,11767.1198761,11327.7659367,18013425.0,0.0
124,2015-10-16,124,124,124,124,1.6595315751441837,11737.107036999998,12015.129124899999,11561.6551401,17643100.0,6.638126300576735
125,2015-10-19,125,125,125,125,1.5585390811362096,11768.6160908,12049.1581469,11583.3941949,14835450.0,0.0
126,2015-10-20,126,126,126,126,3.0392357571467525,11846.8839088,12103.7318602,11629.8918346,21673500.0,0.0
127,2015-10-21,127,127,127,127,1.9440739605681479,11762.5711689,12030.6690738,11614.1790126,17211925.0,0.0
128,2015-10-22,128,128,128,128,1.9217885155429508,11740.130200800002,12003.998226,11602.292222,19974150.0,0.0
129,2015-10-23,129,129,129,129,3.2101939405226574,12629.1840159,12969.1259058,12425.225846399999,29880800.0,12.84077576209063
130,2015-10-26,130,130,130,130,2.4013880564396226,12449.2198192,12752.2828444,12269.6369076,24820325.0,0.0
131,2015-10-27,131,131,131,131,1.646376325083064,12484.327971799998,12783.745844899999,12254.541847499999,24928200.0,0.0
132,2015-10-28,132,132,132,132,1.7124648408366165,12566.8080626,12868.9289645,12352.108921899999,28934500.0,0.0
133,2015-10-29,133,133,133,133,1.6529879433186103,12652.609985599998,12978.2300396,12476.2300102,19224000.0,0.0
134,2015-10-30,134,134,134,134,1.5903814469969004,12791.320991,13142.9870048,12655.2950052,22158900.0,6.361525787987602
135,2015-11-02,135,135,135,135,1.7870418676758555,12689.3951123,13099.1681264,12634.3801594,15227500.0,0.0
136,2015-11-03,136,136,136,136,1.5220501818676198,12785.1951637,13170.272275899999,12682.326308699998,17893400.0,0.0
137,2015-11-04,137,137,137,137,1.94375055819975,12834.388063,13218.700055199999,12752.894007799998,23725650.0,0.0
138,2015-11-05,138,138,138,138,1.9891973887337655,13133.291765400001,13480.7186367,12952.7026473,27342750.0,0.0
139,2015-11-06,139,139,139,139,1.5677292138200227,13154.80005,13542.226035599999,13006.384041399997,18432600.0,6.270916855280091
140,2015-11-09,140,140,140,140,1.9660029971634896,13137.6151864,13558.6262656,13029.594232200001,16593375.0,0.0
141,2015-11-10,141,141,141,141,1.9945561770167148,12950.403183399998,13350.942226,12790.6822124,22314275.0,0.0
142,2015-11-11,142,142,142,142,1.9319822793392472,13123.291071199998,13520.824116199998,12925.94213,19257200.0,0.0
143,2015-11-12,143,143,143,143,1.3008309193422387,13182.100129999999,13614.796083199999,13019.9840888,14893050.0,0.0
144,2015-11-13,144,144,144,144,3.222825837169015,13069.9728759,13477.5829257,12878.1769269,21106850.0,12.89130334867606
145,2015-11-16,145,145,145,145,3.2847572400005696,12656.755722499998,13053.511667,12459.795674799998,24189425.0,0.0
146,2015-11-17,146,146,146,146,1.6308923392703918,12890.829099999999,13302.5551522,12718.169150199998,15063800.0,0.0
147,2015-11-18,147,147,147,147,2.1823576830050797,12909.081271199999,13287.9842481,12709.508223099998,19166325.0,0.0
148,2015-11-19,148,148,148,148,1.7062291910643492,13161.240901000001,13580.859849400002,12995.1198496,18712175.0,0.0
149,2015-11-20,149,149,149,149,1.4272554358762422,13231.259966,13670.349008899999,13092.114945299998,15631275.0,5.709021743504969
150,2015-11-23,150,150,150,150,1.6424606772900003,13315.820055199998,13752.9169976,13153.752928599999,14544825.0,0.0
151,2015-11-24,151,151,151,151,2.0840334165328342,13232.8821345,13699.6162002,13094.5102238,18314250.0,0.0
152,2015-11-25,152,152,152,152,1.1351035691575653,13268.044109,13742.4340559,13164.480005099998,10089775.0,0.0
153,2015-11-27,153,153,153,153,0.9533518879114872,13271.1560156,13774.4659706,13188.3799488,5441200.0,3.8134075516459487
154,2015-11-30,154,154,154,154,1.9660654788721428,13237.695982000001,13719.4211422,13128.8051462,16838575.0,0.0
155,2015-12-01,155,155,155,155,2.2343793723143905,13201.230991,13697.0169685,13124.4889835,16130025.0,0.0
156,2015-12-02,156,156,156,156,1.8565233242185235,13384.0400304,13844.3539944,13202.945903999998,16079900.0,0.0
157,2015-12-03,157,157,157,157,2.908887226050891,13323.218028599998,13790.3450922,13149.197127599999,18115325.0,0.0
158,2015-12-04,158,158,158,158,2.8052090978169275,13110.159849599999,13558.2339108,12934.215977799999,21573450.0,11.22083639126771
159,2015-12-07,159,159,159,159,1.9326832759060482,13356.604178999998,13808.7850788,13191.883060200002,13276050.0,0.0
160,2015-12-08,160,160,160,160,2.1481045283038753,13134.4130405,13589.591035700001,12988.124973299999,15048175.0,0.0
161,2015-12-09,161,161,161,161,2.982557695922584,13301.7819018,13774.9929135,13159.558932299999,19434225.0,0.0
162,2015-12-10,162,162,162,162,1.5062899432627868,13128.6271697,13573.7072462,12957.549283199998,13027725.0,0.0
163,2015-12-11,163,163,163,163,2.126818661380164,12940.384849799999,13353.1217673,12753.375827499998,20253175.0,8.507274645520656
164,2015-12-14,164,164,164,164,3.129366770184464,12767.5589288,13165.4009306,12540.162964199999,23927250.0,0.0
165,2015-12-15,165,165,165,165,1.9259527074098564,13051.2893127,13474.790379,12808.4823846,20626750.0,0.0
166,2015-12-16,166,166,166,166,2.7499244717184124,13012.9280774,13429.0040156,12757.4099976,21219200.0,0.0
167,2015-12-17,167,167,167,167,1.986638739005705,13256.2318018,13690.5058423,12995.0458495,17920875.0,0.0
168,2015-12-18,168,168,168,168,2.4605908007761275,13007.0413372,13425.5534002,12730.493417399999,35609375.0,9.84236320310451
169,2015-12-21,169,169,169,169,1.5303582113927332,12936.648122999999,13370.1090429,12663.5189981,17126500.0,0.0
170,2015-12-22,170,170,170,170,1.1497138028405764,12963.2192875,13380.0513214,12663.081295799999,12854925.0,0.0
171,2015-12-23,171,171,171,171,1.6214179979407681,12987.0117766,13388.3908099,12662.5908327,14136475.0,0.0
172,2015-12-24,172,172,172,172,0.7463119611096454,12949.234733599998,13368.7846868,12677.3547204,5422650.0,0.0
173,2015-12-28,173,173,173,173,1.504041253373708,12958.8597392,13373.8797863,12658.065787700001,11268200.0,0.0
174,2015-12-29,174,174,174,174,2.0330640272133356,13129.847803199997,13553.4447558,12797.0107524,13902775.0,0.0
175,2015-12-30,175,175,175,175,1.298447180135138,13312.8670241,13777.186111400002,13018.550178200001,10785275.0,0.0
176,2015-12-31,176,176,176,176,1.6748773352022597,13182.2041471,13642.6022206,12884.220244199998,16138475.0,0.0
177,2016-01-04,177,177,177,177,2.9868488208835,12663.1267914,13088.253763199999,12349.951793,29537275.0,0.0
178,2016-01-05,178,178,178,178,2.4926792308513925,12710.5879307,13090.216879399999,12377.116863799998,21705625.0,0.0
179,2016-01-06,179,179,179,179,2.6741129435733644,12321.69987,12632.175916799999,11898.0039112,25207450.0,0.0
180,2016-01-07,180,180,180,180,3.5835610875541946,12265.3659152,12579.354870199999,11826.2208738,34076475.0,0.0
181,2016-01-08,181,181,181,181,2.872315779326557,12235.9278551,12551.236803799999,11798.2368356,28541025.0,11.489263117306228
182,2016-01-11,182,182,182,182,2.638864028711313,12071.729945,12409.3648121,11699.852826899998,21663500.0,0.0
183,2016-01-12,183,183,183,183,2.0034144977437953,12239.803027799999,12608.7460449,11902.2120929,21074550.0,0.0
184,2016-01-13,184,184,184,184,5.205043825443412,12297.253981099999,12611.632986199998,11876.3990174,26501775.0,0.0
185,2016-01-14,185,185,185,185,5.283114746875046,11735.022942999998,11990.5119709,11301.6559621,30323125.0,0.0
186,2016-01-15,186,186,186,186,2.9200484327768765,11533.045865799999,11796.4007818,11121.558768,34339825.0,11.680193731107506
187,2016-01-19,187,187,187,187,3.031201240533166,11734.947164899999,11969.364313400001,11285.482388199998,22790325.0,0.0
188,2016-01-20,188,188,188,188,5.235534647216749,11409.9738565,11662.648768299998,10988.350759699999,35699300.0,0.0
189,2016-01-21,189,189,189,189,3.362481545656329,11632.0821549,11878.1181483,11190.0421133,22511200.0,0.0
190,2016-01-22,190,190,190,190,2.3602018083949057,11902.458823599998,12166.9536844,11449.847668199998,25856950.0,9.440807233579623
191,2016-01-25,191,191,191,191,2.4587376599062063,12087.804985199999,12357.2559021,11660.4278301,22596075.0,0.0
192,2016-01-26,192,192,192,192,2.258048785326757,12016.8450252,12327.903057599999,11635.587088799999,26762875.0,0.0
193,2016-01-27,193,193,193,193,3.62570897442822,11929.9189088,12220.9008707,11482.8269071,49854050.0,0.0
194,2016-01-28,194,194,194,194,4.130698152441401,12246.7427651,12377.4318293,11540.9579113,44961425.0,0.0
195,2016-01-29,195,195,195,195,3.234193789035076,12134.0119674,12085.780902899998,11233.608874499998,36326975.0,12.936775156140303
196,2016-02-01,196,196,196,196,2.115158155300888,12391.961182400002,12297.7643138,11411.662304,24642625.0,0.0
197,2016-02-02,197,197,197,197,3.1287973899274397,12552.100050000001,12346.161988800002,11371.217947199999,27448975.0,0.0
198,2016-02-03,198,198,198,198,5.200480651458977,12388.1617766,12120.753856700001,11163.7379269,29775825.0,0.0
199,2016-02-04,199,199,199,199,2.9319510522445844,11903.6261008,11633.2930522,10792.5830496,24182425.0,0.0
200,2016-02-05,200,200,200,200,4.568724674672918,11787.9661597,11594.9672305,10809.877192099999,34531850.0,18.274898698691672
201,2016-02-08,201,201,201,201,3.6587782885763045,11011.7709559,10835.826898599998,10130.1708824,34831000.0,0.0
202,2016-02-09,202,202,202,202,4.2209778174180155,10904.1350852,10754.210139499999,10073.8161447,29431750.0,0.0
203,2016-02-10,203,203,203,203,2.920728228786569,11222.544043999998,11039.6460353,10325.854020699999,24236800.0,0.0
204,2016-02-11,204,204,204,204,4.028667641622845,11063.1710419,10916.0781322,10210.200155999999,26041675.0,0.0
205,2016-02-12,205,205,205,205,2.4338633255492157,11388.6061016,11230.866182599999,10477.4002002,21013600.0,9.735453302196863
206,2016-02-16,206,206,206,206,2.5393424664483826,11474.831811999999,11350.7936872,10601.8656698,25595900.0,0.0
207,2016-02-17,207,207,207,207,3.270909326410587,11536.275931199998,11481.732914700002,10753.7568605,24063300.0,0.0
208,2016-02-18,208,208,208,208,2.7880846489274687,11826.297022599998,11749.361961999997,11002.873896799998,18808175.0,0.0
209,2016-02-19,209,209,209,209,2.23469831108856,11474.111362,11379.0533677,10645.499297499999,18585675.0,8.93879324435424
210,2016-02-22,210,210,210,210,2.173643364927471,11761.030030799999,11686.8010956,10916.909062399998,19376725.0,0.0
211,2016-02-23,211,211,211,211,2.094684811404449,11860.1349596,11819.2149452,11053.0249592,15830500.0,0.0
212,2016-02-24,212,212,212,212,3.416868549210112,11613.156951800001,11584.1019959,10827.7500679,19715850.0,0.0
213,2016-02-25,213,213,213,213,2.1345314641088926,11854.122262,11808.441323800002,11039.1533352,15914175.0,0.0
214,2016-02-26,214,214,214,214,1.7454844308178976,11993.2238967,11933.2899051,11152.6058571,15699450.0,6.9819377232715905
215,2016-02-29,215,215,215,215,1.9069304765052837,11876.8719922,11819.0800255,11055.852036699998,18655450.0,0.0
216,2016-03-01,216,216,216,216,3.0021307525983483,11929.1789384,11876.0518283,11114.8258489,21103575.0,0.0
217,2016-03-02,217,217,217,217,1.472960672219952,12273.025039999999,12282.3460472,11516.0840708,16262750.0,0.0
218,2016-03-03,218,218,218,218,1.4667377707026081,12266.176146400001,12250.9962457,11482.7162819,15752025.0,0.0
219,2016-03-04,219,219,219,219,1.8646019263572817,12298.595148100001,12308.9091412,11569.5931766,19095650.0,7.458407705429127
220,2016-03-07,220,220,220,220,2.765732991692725,12154.9419518,12178.8818408,11466.2437858,18794325.0,0.0
221,2016-03-08,221,221,221,221,2.4078189389766256,11841.095042699999,11873.825013299998,11194.8869589,15996300.0,0.0
222,2016-03-09,222,222,222,222,1.6618806664636314,11965.389723999999,11963.1667891,11261.178835699999,13373450.0,0.0
223,2016-03-10,223,223,223,223,2.474545772922174,12093.314114,12088.9880219,11363.5500541,16280325.0,0.0
224,2016-03-11,224,224,224,224,1.1916931219019222,12182.9851256,12161.5141112,11421.0660696,13461975.0,4.766772487607689
225,2016-03-14,225,225,225,225,1.579568593645642,12232.026040800001,12189.033075,11427.633131800001,11874500.0,0.0
226,2016-03-15,226,226,226,226,1.6459667096859167,12293.631931799999,12276.5799255,11540.191938299999,15821000.0,0.0
227,2016-03-16,227,227,227,227,1.8149467169370612,12381.0340315,12363.9731341,11627.9651669,17052600.0,0.0
228,2016-03-17,228,228,228,228,1.7443451031104305,12450.483118199998,12369.9390996,11616.565030599999,16612700.0,0.0
229,2016-03-18,229,229,229,229,1.8502791994787482,12420.0778036,12314.813846499997,11564.917838299998,22684925.0,7.401116797914993
230,2016-03-21,230,230,230,230,1.933648168240498,12314.4329499,12163.7997726,11418.1137486,15235725.0,0.0
231,2016-03-22,231,231,231,231,1.9031565567800546,12272.309036699999,12108.943940399999,11355.305894799998,14178950.0,0.0
232,2016-03-23,232,232,232,232,1.484816985317771,12439.056051,12325.9800393,11574.1360897,12420325.0,0.0
233,2016-03-24,233,233,233,233,1.5659274391204816,12413.3388815,12327.6108716,11581.758883399998,12688125.0,0.0
